zip_code,offense_type,latitude,longitude
78741,THEFT,30.2309895,-97.70564444
78702,THEFT,30.25076349,-97.69675869
78741,THEFT,30.22849052,-97.70141131
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.2341129,-97.72281244
78748,THEFT,30.15613529,-97.79236136
78741,BURGLARY OF VEHICLE,30.23964224,-97.72786734
78745,BURGLARY OF VEHICLE,30.2018439,-97.77187305
78704,THEFT,30.23405088,-97.77742329
78753,THEFT,30.3391525,-97.69116892
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.1958064,-97.74259115
78752,FAMILY DISTURBANCE,30.32202477,-97.70020416
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.19304805,-97.79311289
78741,BURGLARY OF VEHICLE,30.24369828,-97.72850865
78745,THEFT,30.21291809,-97.82952007
78752,FAMILY DISTURBANCE,30.33910075,-97.706454
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.35940846,-97.68500671
78745,BURGLARY OF VEHICLE,30.20146436,-97.79965799
78723,FAMILY DISTURBANCE,30.30551917,-97.66162802
78758,FAMILY DISTURBANCE,30.37025069,-97.71718296
78758,BURGLARY OF VEHICLE,30.3841002,-97.69736699
78723,FAMILY DISTURBANCE,30.31947627,-97.66619668
78723,FAMILY DISTURBANCE,30.31763355,-97.69450671
78704,BURGLARY OF VEHICLE,30.23631461,-97.78364444
